source_id,image,split,sha256,blade_id,flight_id,reviewer,capture_date
iliad,0_b57940f4.jpg,train,3b1d1636500dab9f2be568e4288b1fecc6f68c0e82d67dcd740a68e8a6e58668,n/a,n/a,n/a,n/a
iliad,0be.png,train,fcd8dc2cafe40bec622939980f08a4bd49bcf9186cb51000205ee1d2f8454e89,n/a,n/a,n/a,n/a
iliad,0fl.png,train,e83f53322f97b1cd5dbe1a3d91015b9976ad709558f078ff6b730101b9af509c,n/a,n/a,n/a,n/a
iliad,0GAN.png,train,70e8eff214eea389d1a337b3c60bf57cfb21710873b2c429ba632ed2a09be10e,n/a,n/a,n/a,n/a
iliad,0ro.png,train,6cbbc710bc663cb4f2138cbeb033d1ca2e54d6265f6c6fd3facde2a9292c3285,n/a,n/a,n/a,n/a
iliad,1.jpg,train,75b46196cc8eb91bd0db5ad45ea3d23e60b3b861473a2a37f1f2b5621b02e34e,n/a,n/a,n/a,n/a
iliad,10.jpg,train,12628537c7a2878d9b51cd61115d0e830fdbc8d2a3e1ed2ecd6b40db1e8f01ff,n/a,n/a,n/a,n/a
iliad,10be.png,train,08328b6b270a643370a54d4b8beed58c1b7d9ae0c45471068aaf1f84227560f2,n/a,n/a,n/a,n/a
iliad,10fl.png,train,b8e7d81397c40bd87e0e1d88b80cac276010fa8a479af997fa952b24ee2c20de,n/a,n/a,n/a,n/a
iliad,10GAN.png,train,523322feae2c71a0127550cae5f4a566489c3954d29b4493bc70bca57389ac07,n/a,n/a,n/a,n/a
iliad,10ro.png,train,719b0330014b8af0f32f967e57ce7c1b4f782c1700d25cce20716177f0681711,n/a,n/a,n/a,n/a
iliad,11be.png,train,7208e05a649e5e5aed9df983b5afe172b895aa984b3f3d895013bea094a85ee9,n/a,n/a,n/a,n/a
iliad,11GAN.png,train,10258830939f28070d74feb4401b8d284e4aed02647df459e0c3803d73a2e9a3,n/a,n/a,n/a,n/a
iliad,11ro.png,train,586a2ccdd8a0999e05a6039386debd4eec92a1a0c5a37eb33393be985ee03c7f,n/a,n/a,n/a,n/a
iliad,12.jpg,train,6c3896c0dd5199c89a868eed2d1e05be0bb04c757289fe3aeaf4b3c9962be9b8,n/a,n/a,n/a,n/a
iliad,1254_jpg.rf.0b539a5aeffe0ad84ed92da1848f5f6c.jpg,train,e8cb93231e79210794fbb423ed5ffa2b4ae157f3c0a028522372a26fea1ef485,n/a,n/a,n/a,n/a
iliad,1255_jpg.rf.f8fee043aace716ae4daeb87b955e030.jpg,train,97468286b96996d63c6a029ee021b7afc06d19d23ff010f2971c96a1bb24466b,n/a,n/a,n/a,n/a
iliad,1256_jpg.rf.464084960b14b95d8df16619cd922f8e.jpg,train,cb58b961c11e9c8d0a9b966f8b5b011bfaef632747931ae7e5684191d6c043c2,n/a,n/a,n/a,n/a
iliad,1257_jpg.rf.701f6a756fef2b2ff67475f100981f35.jpg,train,c7ed987f6c4ef8a444b83139c4e9dec8d10f44052a98c0b5400145d1502b8d15,n/a,n/a,n/a,n/a
iliad,1258_jpg.rf.30933bede43af2150b6541e320a840ac.jpg,train,fe7dcdf22f75567e8c21b3bc9fd85f9cc1631a7edaaa0a5cfdf8eac6987245bf,n/a,n/a,n/a,n/a
iliad,1259_jpg.rf.39449108dcc40b6bc45b8f5d53f47334.jpg,train,10a9bcb7f713dcd2a00c2faa6706008c26a55718eac639c5e8013d989eacc16f,n/a,n/a,n/a,n/a
iliad,1260_jpg.rf.93d31a2f852192d155a8ad4228cd9d55.jpg,train,206ed9f2b28da9f00f737fc0d5b2befb57667d2899c45fc7dc03c959adefc4cf,n/a,n/a,n/a,n/a
